track,artist,release,streams
Soak City (Do it),310babii,2023,128855739
The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke,2020,560691819
"yes, and?",Ariana Grande,2024,416813996
Cheerleader - Felix Jaehn Remix Radio Edit,OMI,2014,1663491433
Woah (feat. D3Mstreet),KRYPTO9095,2019,92985109
Wrecking Ball,Miley Cyrus,2013,930004605
Stereo Love (TikTok Remix),DJRemixGod,2024,348676476
Stuck with U (with Justin Bieber),Ariana Grande,2020,1120501187
she's all i wanna be,Tate McRae,2022,452628341
Oh My God,Adele,2021,562200390
Leave Out All The Rest,Linkin Park,2024,270590102
iSpy (feat. Lil Yachty),KYLE,2016,960430911
I AM,IVE,2023,269067890
Midnight Sky,Miley Cyrus,2020,629372240
"Earth, Wind & Fire",BOYNEXTDOOR,2024,15434400
Andrea,Bad Bunny,2022,432885913
Ric Flair Drip (with Metro Boomin),Offset,2017,1506766477
Going Bad (feat. Drake),Meek Mill,2018,1189579197
Tenho Que Me Decidir,MC PH,2023,111408880
Wunder,AYLIVA,2024,47364546
Safaera,Bad Bunny,2020,868744690
Baby,Justin Bieber,2010,952635214
On BS,Drake,2022,253540951
Love Again,The Kid LAROI,2023,215466975
LAGUNAS,Peso Pluma,2023,301396080
Narcotics (with Bryant Myers),Dei V,2023,154018930
Linea del Perreo (feat. Dj Kiire),Uzielito Mix,2023,99086405
24K Magic,Bruno Mars,2016,1425996809
The Feels,TWICE,2021,431638330
Someone Like You,Adele,2011,1925879064
Oh U Went (feat. Drake),Young Thug,2023,112624663
Right Now (Feat. Crush),Coogie,2023,8163960
Burn,Kanye West,2024,147150985
High Fashion (feat. Mustard),Roddy Ricch,2019,538059363
Ronald,Falling In Reverse,2024,17589316
We Paid (feat. 42 Dugg),Lil Baby,2020,417634388
Boss Bitch,Doja Cat,2020,878349171
Ballena,Vulgo FK,2023,174583156
Locked Away (feat. Adam Levine),R. City,2015,990518773
Tal Vez,Paulo Londra,2019,751585271
the remedy for a broken heart (why am I so in love),XXXTENTACION,2018,959078765
Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,2021,730200775
Cynical,twocolors,2023,112737954
These Words,Badger,2024,57562320
Robarte un Beso,Carlos Vives,2017,658225560
Vida Gangster,Lauty Gram,2022,105604106
For My Hand (feat. Ed Sheeran),Burna Boy,2022,264048274
Cowgirls (feat. ERNEST),Morgan Wallen,2023,266560481
Hass Hass,Diljit Dosanjh,2023,106514756
You Got It,Vedo,2020,378584974
LDR,Shoti,2022,37027643
"Kaavaalaa (From ""Jailer"")",Shilpa Rao,2023,94518210
Me or Sum (feat. Future & Lil Baby),Nardo Wick,2021,169074195
You're Welcome,Dwayne Johnson,2016,551115166
Fuk Sumn,Kanye West,2024,120079689
Billete Grande (En Vivo),Fuerza Regida,2022,309329645
Royals,Lorde,2012,1232502989
Charm,Rema,2023,111124873
prove it,21 Savage,2024,88224186
Mon Amour - Remix,zzoilo,2021,689939531
Adan y Eva,Paulo Londra,2018,915772593
No Lie,Sean Paul,2015,1162659862
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")",Sachin-Jigar,2023,226109929
10 Carros,Chefin,2023,92949075
The Astronaut,JIN,2022,422186660
Gogo Dance,El Alfa,2022,122568157
Komang,Raim Laode,2022,329763216
The Spectre,Alan Walker,2017,428110164
DARARI,TREASURE,2022,224285122
Ferxxo 100,Feid,2022,444613276
No Te Quieren Conmigo,Gaby Music,2023,138904532
More than you know,NoSpace,2022,2030
Shower,Becky G,2014,809840469
B.O.T.A. (Baddest Of Them All) - Edit,Eliza Rose,2022,325902688
Chatak Matak,Renuka Panwar,2020,24806000
Cooped Up (with Roddy Ricch),Post Malone,2022,327011836
FRIENDS,Marshmello,2015,1436709386
Come back to me,RM,2024,44991905
Whatsapp (Wassam),Gunna,2024,20011325
3:15 (Breathe),Russ,2021,303510160
Love Me Again,V,2023,626153696
Down Under (feat. Colin Hay),Luude,2021,315606874
Like That (feat. Gucci Mane),Doja Cat,2019,510302007
Control,Zoe Wees,2020,457848626
Push Up - Original Mix,Creeds,2022,83801298
Dancin (feat. Luvli) - Krono Remix,Aaron Smith,2014,856908437
Goosebumps - Remix,Travis Scott,2021,767502068
Die For You,Joji,2022,363300065
SC-9,Yahir Saldivar,2024,63296147
My Head & My Heart,Ava Max,2020,518293446
Accendio,IVE,2024,12367963
Deep End,Foushe?,2020,277505000
Loosing interest,Kurochuu,2024,43492280
Turbo S,Yasin,2023,2109876
30 GRADOS RKT,RUNE,2024,50652672
Mi Bello Angel,Natanael Cano,2023,349522530
Turks & Caicos (feat. 21 Savage),Rod Wave,2023,79871904
Si Veo a Tu Mam?,Bad Bunny,2020,817199682
1-800-273-8255,Logic,2017,1332154389
After Hours,The Weeknd,2020,942637026
Alibi (feat. Rudimental),Ella Henderson,2024,78096380
Everybody (feat. Lil Uzi Vert),Nicki Minaj,2023,114947522
I LUV IT (feat. Playboi Carti),Camila Cabello,2024,78537688
The Middle,Zedd,2018,1503269550
Doctor (Work It Out) [feat. Miley Cyrus],Pharrell Williams,2024,40447209
Pompeii,Bastille,2013,1590278292
Hymn For The Weekend - Seeb Remix,Coldplay,2015,652636187
Lonely (with benny blanco),Justin Bieber,2020,820172575
Hold On,Justin Bieber,2021,749776475
Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,2012,2397109372
I Like It,Cardi B,2018,1624314065
8 Parche,Baani Sandhu,2019,96829196
Modo DND,Xavi,2023,186482379
THANK GOD,Travis Scott,2023,159483318
Home,Edith Whiskers,2020,382143321
The London (feat. J. Cole & Travis Scott),Young Thug,2019,729825680
Si Te Pudiera Mentir,Calibre 50,2019,497062969
One Of Your Girls,Troye Sivan,2023,222373201
Tell Em,Cochise,2021,499262863
Close Eyes,DVRST,2021,495840131
Mr Pot Scraper,Bossman Dlow,2024,19565712
LA DURANGO,Peso Pluma,2024,42032763
Please Me,Cardi B,2019,551035247
El Hijo Mayor,Junior H,2022,357445095
TIL FURTHER NOTICE,Travis Scott,2023,133152051
"Poblado (feat. Crissin, Totoy El Frio & Natan & Shander) [Remix]",J Balvin,2021,347951927
LOKERA,Rauw Alejandro,2022,656416971
cardigan,Taylor Swift,2020,1307283069
See You Again (feat. Kali Uchis),"Tyler, The Creator",2017,1610423351
Amanece,Anuel AA,2018,784096553
Popular,The Weeknd,2024,811545581
King Shit,Shubh,2024,84030576
LA INOCENTE,Mora,2022,736983718
Chicago Freestyle (feat. Giveon),Drake,2020,763384135
Johnny Dang (with Paul Wall & DRODi),That Mexican OT,2023,128049237
S-Class,Stray Kids,2023,207857363
GASLIGHT,INJI,2022,17756452
Die Young (feat. 347aidan),Sleepy Hallow,2022,245406516
Vente Pa' Ca,Ricky Martin,2016,613961293
Can't Tame Her,Zara Larsson,2023,159051363
VIBEZ,DaBaby,2019,432315500
I Don't Fuck With You,Big Sean,2014,781790448
Se Grita,Morad,2023,142131977
HYAENA,Travis Scott,2023,137071285
KICK BACK,Kenshi Yonezu,2022,360816226
M.A.I,Milo j,2023,163958167
Tu hai kahan,AUR,2023,218471293
Danza Kuduro - Cover,WORK OUT GYM - DJ MIX,2023,1642258500
Truth or Dare,Tyla,2023,91143676
Just the Way You Are,Bruno Mars,2010,2099862852
Rasputin,Majestic,2021,613000788
Say It Right (Dance),MELON,2023,3119521
If the World Was Ending - feat. Julia Michaels,JP Saxe,2019,1145402792
"How Far I'll Go - From ""Moana""",Alessia Cara,2016,740261910
Heartless,The Weeknd,2019,975754682
Upa Cavalinho,Galinha Pintadinha,2014,13615330
Mirrors,Justin Timberlake,2013,1047154254
we fell in love in october,girl in red,2018,1034272727
Sorry Not Sorry,Demi Lovato,2017,1156601592
X ESO BB,Jere Klein,2023,124155654
Where Did You Go? (feat. MNEK),Jax Jones,2022,389547230
The Lazy Song,Bruno Mars,2010,950810060
Sex Sounds,Lil Tjay,2019,413974601
Asiwaju,Ruger,2022,108133711
Sticky,Drake,2022,253177498
Mahiye Jinna Sohna Slowed + Reverb,Darshan Raval,2023,1843453
hey! hey!,TWS,2024,1010608
Centuries,Fall Out Boy,2014,1184571362
What Makes You Beautiful,One Direction,2011,1265397717
Sweetest Pie,Megan Thee Stallion,2022,359563711
GMFU (w/ 6arelyhuman),Odetari,2023,199444237
SKITZO,Travis Scott,2023,97901897
Friendly Fire,Linkin Park,2024,27605207
SkeeYee,Sexyy Red,2023,96289114
The Git Up,Blanco Brown,2019,346783267
Beautiful Crazy,Luke Combs,2018,828103564
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)",Metro Boomin,2023,199846893
Lover,Taylor Swift,2019,1413268808
Midas Touch,KISS OF LIFE,2024,50824333
Follow You,Imagine Dragons,2021,412887321
Por las Noches,Peso Pluma,2021,541105655
Body Like A Back Road,Sam Hunt,2017,874864898
Best Part (feat. H.E.R.),Daniel Caesar,2017,1362614026
Melhor Vibe,MC Ryan SP,2024,39157273
Cake By The Ocean - Cover,LOVE BGM JPN,2023,1622824522
Set Fire to the Rain,Adele,2011,1595514674
Worth It,Fifth Harmony,2014,815946405
2 Be Loved (Am I Ready),Lizzo,2022,335194737
Shut Up and Dance,WALK THE MOON,2011,1690450389
SugarCrash!,ElyOtto,2020,364210672
Sail,AWOLNATION,2010,814264073
See You Again (feat. Charlie Puth),Wiz Khalifa,2015,1891920348
Dial Drunk (with Post Malone),Noah Kahan,2023,276026602
Piscina,Maria Becerra,2023,81319633
Bandit (with YoungBoy Never Broke Again),Juice WRLD,2019,925747848
this is what falling in love feels like,JVKE,2021,477620800
Galway Girl,Ed Sheeran,2017,1311631709
Firework,Katy Perry,2010,1065375074
Danza Kuduro - Cover,WORK OUT GYM - DJ MIX,2023,1642258500
wait in the truck (feat. Lainey Wilson),HARDY,2022,127223430
Funny Song,Cavendish Music,2018,5866282
Adventure Of A Lifetime,Coldplay,2015,1020239582
Nice For What,Drake,2018,1276685592
Us Vs Them,$uicideboy$,2024,44027794
Vaaste,Dhvani Bhanushali,2019,126921341
Left and Right (Feat. Jung Kook of BTS),Charlie Puth,2022,947763871
Obsessed With You,Central Cee,2021,336889834
Bang!,AJR,2020,426425213
Style (Taylor's Version),Taylor Swift,2023,211462881
The Door,Teddy Swims,2023,111155129
Gato de Noche,?engo Flow,2022,427842597
Despeinada,Ozuna,2020,420652971
Runnin,21 Savage,2020,653352641
Hey Driver (feat. The War and Treaty),Zach Bryan,2023,221575551
Free Mind,Tems,2020,155772691
New Rules,Dua Lipa,2015,2098443322
favorite crime,Olivia Rodrigo,2021,1058390692
La Forma en Que Me Miras,Super Yei,2018,541468772
When You're Gone,Shawn Mendes,2022,323292046
High Road (feat. Jessie Murph),Koe Wetzel,2024,6120999
Savage,Megan Thee Stallion,2020,427275743
Put It On Da Floor Again (feat. Cardi B),Latto,2023,60082145
You Should Probably Leave,Chris Stapleton,2020,427605317
Runaway,AURORA,2015,884816583
Spicy,aespa,2023,133536914
Ya Leil W Yal Ein,AL SHAMI,2023,9736339
Die For You,The Weeknd,2016,2265551950
Need It (feat. YoungBoy Never Broke Again),Migos,2020,328017675
Into You,Ariana Grande,2016,1368497471
Invincible,Pop Smoke,2020,549824221
Le Monde,Richard Carter,2023,84141101
Ya No Somos Ni Seremos,Christian Nodal,2022,469278591
Macetando,Ivete Sangalo,2023,67224922
Stand by Me,Ben King,2024,1094052047
Goa Beach,Tony Kakkar,2020,33384757
Sharks,Imagine Dragons,2022,283572432
Teenage Dream,Stephen Dawes,2022,170404957
Igualito a Mi Ap?,Fuerza Regida,2022,316447060
Thunder,Gabry Ponte,2021,551090518
Thousand Miles,The Kid LAROI,2022,299159279
STAYING ALIVE (feat. Drake & Lil Baby),DJ Khaled,2022,204471704
Walk Em Down (feat. Roddy Ricch),NLE Choppa,2020,565296902
Khairiyat,Arijit Singh,2019,240571166
Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,2010,1461578587
Private Landing (feat. Justin Bieber & Future),Don Toliver,2023,242528711
Turn Yo Clic Up (feat. Future),Quavo,2023,70868414
Hotline Bling,Drake,2015,1335494972
Down Below,Roddy Ricch,2018,394772670
Emiliana,CKay,2021,223634694
Life Goes On,BTS,2020,717715448
World Hold On - FISHER Rework,Bob Sinclar,2022,240482615
Cry,Benson Boone,2024,72952792
11:00 pm,Maluma,2019,719602988
One Call Away,Charlie Puth,2015,833094374
Bitch Let's Do It,YoungBoy Never Broke Again,2023,46368950
I Am Not Okay,Jelly Roll,2024,4522
Move Your Body,?wnboss,2021,366000029
Stay,Rihanna,2012,1313274600
Faucet Failure,Ski Mask The Slump God,2018,571258899
Danza Kuduro,Don Omar,2010,1656974409
Suavemente,Soolking,2022,159676691
Locked Out Of Heaven,Bruno Mars,2012,2004657631
Party Rock Anthem,LMFAO,2011,717233625
Jealous,Eyedress,2019,789418331
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,2015,1532640437
Love Nwantiti - Remix,Dj Yo!,2019,596326288
THE SCOTTS,THE SCOTTS,2020,789962731
Still With You,Jung Kook,2020,188249146
Daytona,Cris Mj,2023,139929615
Not Afraid,Eminem,2010,1012914789
GODS,League of Legends,2023,147487181
Fotos Y Recuerdos (Remasterizado 2024/30th Anniversary),Selena,2024,66283950
Bad Romance,Lady Gaga,2009,1229109018
The Feeling,Lost Frequencies,2023,130424397
Flowers,Miley Cyrus,2023,2010422639
LUNA,Peso Pluma,2023,266623831
Just Give Me a Reason,P!nk,2012,1301573727
UN DIA (ONE DAY) (Feat. Tainy),J Balvin,2020,828608384
Fancy,Iggy Azalea,2014,724486951
Apocalypse,Cigarettes After Sex,2017,1305189811
Shape of You,xSyborg,2021,3888356417
Murder On My Mind,YNW Melly,2017,1055558326
Pacas De Billetes,Natanael Cano,2023,199378491
"Villano Antillano: Bzrp Music Sessions, Vol. 51",Bizarrap,2022,305438624
Castle on the Hill,Ed Sheeran,2017,1340305216
GENTO,SB19,2023,44345269
Bebe (feat. Anuel AA),Ozuna,2017,133601746
?ndigo,Camilo,2021,270580897
BABY OTAKU,Pablito Pesadilla,2022,187646063
The Less I Know The Better,Tame Impala,2015,1644031037
Next Thing You Know,Jordan Davis,2022,233212999
Faster n Harder,6arelyhuman,2024,45351290
Bongos (feat. Megan Thee Stallion),Cardi B,2023,97991117
Better Days (NEIKED x Mae Muller x Polo G),NEIKED,2021,487150595
Golden,Harry Styles,2019,912294568
Music For a Sushi Restaurant,Harry Styles,2022,408265830
HYPNOTIC DATA,Odetari,2023,111532358
Bad Feeling (Oompa Loompa),Jagwar Twin,2023,68270779
Dance The Night,Dua Lipa,2023,860026452
RAM TCHUM,DENNIS,2024,62158125
Coal,Dylan Gossett,2023,170200281
RUNAWAY,KAYDEN,2022,3508819
Habits (Stay High),Tove Lo,2013,919756735
Kilerito,Brytiago,2024,22216368
Houdini,Eminem,2024,99968146
Moonwalking in Calabasas (feat. Blueface) - Remix,DDG,2020,337709342
Deli,Ice Spice,2023,190497384
Too Little Light,koko die,2023,24935
God's Country,Blake Shelton,2019,367775924
Desejo Imortal (It Must Have Been Love),Gusttavo Lima,2023,96328058
BOA,Megan Thee Stallion,2024,21644029
30 GRADOS,El Turko,2024,50652672
Relax My Eyes,ANOTR,2022,149095636
Alone,Alan Walker,2016,738909649
Starlight,Dave,2022,300668168
Soy Peor,Bad Bunny,2016,507652985
Never Stop,ian,2024,8857839
Earth Song,Wizard Chan,2022,5408464
GREECE (feat. Drake),DJ Khaled,2020,544564903
Jericho,Iniko,2023,138403252
someday i'll get it,Alek Olsen,2023,89292592
I Fall Apart,Post Malone,2016,1638216382
Popular,The Weeknd,2023,812954133
Iced Coffee,Arthur Hill,2022,2035613
Anyone,Justin Bieber,2021,689413808
Betty (Get Money),Yung Gravy,2022,262402978
Paradise (feat. Dermot Kennedy),MEDUZA,2020,726266033
Bel Mercy,Jengi,2022,137020536
The Nights,Avicii,2011,1780761618
Run,OneRepublic,2021,567806129
Bad Habit,Steve Lacy,2022,1087201670
Hate Me (with Juice WRLD),Ellie Goulding,2019,756657781
Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,Nathan Evans,2021,443854471
Mi Cuarto,Jerry Di,2020,427998483
Commas,Ayra Starr,2024,48408512
Dial Drunk,Noah Kahan,2023,157881582
Angels Like You,Miley Cyrus,2020,940796773
Without Me,Eminem,2016,2146682342
Call It Love,Felix Jaehn,2022,283002053
Rodeo (Remix),Lah Pat,2023,160163510
Head Down,Lost Frequencies,2023,51812189
Vete,Bad Bunny,2019,991885224
What If,Johnny Orlando,2018,183453795
TRUCK BED,HARDY,2022,194689239
Chosen (feat. Ty Dolla $ign),Blxst,2020,396135437
Que Tire Pa Lante,Daddy Yankee,2019,375589989
Where the Wild Things Are,Luke Combs,2023,188142444
Jaldi Chhoda Ghare Bullet Se,Vinay Pandey Sanu,2023,72880
REINA,Mora,2023,187631508
ANTIFRAGILE,LE SSERAFIM,2022,458713465
This Girl (Kungs Vs. Cookin' On 3 Burners),Kungs,2016,1121107262
Dreaming,Marshmello,2023,42151775
Own Brand Freestyle,FelixThe1st,2021,110291303
Pussy & Millions (feat. Travis Scott),Drake,2022,273457499
Sent Gamkauwa,Shivani Singh,2023,29424141
Bulletproof,Nate Smith,2024,32849769
I Hope,Gabby Barrett,2019,399778802
"...And to Those I Love, Thanks for Sticking Around",$uicideboy$,2020,675082623
Bite Me,ENHYPEN,2023,263851286
Promises (with Sam Smith),Calvin Harris,2018,1036104210
Cover Me In Sunshine,P!nk,2021,439034558
Outside (feat. Ellie Goulding),Calvin Harris,2011,1128783268
Bamba (feat. Aitch & BIA),Luciano,2022,201638049
Sin Querer,Fer Vazquez,2023,46660424
Filhall 2,B Praak,2020,81182241
TOMBOY,(G)I-DLE,2022,286016224
Everything I Love,Morgan Wallen,2023,173756454
Butta My Bread,JZyNo,2023,46431158
Barking,Ramz,2017,514888081
One Of Them Girls,Lee Brice,2020,382466683
INFERNO,Sub Urban,2021,233661226
Hold On,Chord Overstreet,2017,847578246
Bipolar,Mc Davi,2021,174403309
bury a friend,Billie Eilish,2019,1014870547
"Alone, Pt. II",Alan Walker,2019,606284550
El Tsurito,Junior H,2023,257812063
GOOD LOYAL THOTS,Odetari,2023,222975417
No Me Acuerdo,Thalia,2018,367530155
Freestyle,Lil Baby,2017,706489684
Una Locura,Ozuna,2020,584776407
double take,Dhruv,2019,826685494
Trip,Ella Mai,2018,502147027
Ni Una Ni Dos,BM,2023,139873877
Un Desperdicio,Rels B,2024,62552825
El Boss,Gabito Ballesteros,2024,81942319
La Corriente,Bad Bunny,2022,591704263
POLARIS - Remix,SAIKO,2023,238718077
Love Tonight - David Guetta Remix Edit,Shouse,2021,449513936
5 Foot 9,Tyler Hubbard,2022,193680404
Mejor Que Ayer,Diego Torres,2023,28210202
Lalala,ati2x06,2024,966112900
Broadway Girls (feat. Morgan Wallen),Lil Durk,2021,344369903
Se Te Nota (with Guaynaa),Lele Pons,2020,437956158
Ameno Amapiano Remix (You Wanna Bamba),Goya Menor,2022,62243984
Canon and Gigue for Three Violins and Continuo in D Major: Canon,Sir Neville Marriner,2024,88934872
Cake By The Ocean - Cover,MUSIC LAB JPN,2023,1619109147
MAMACITA,Black Eyed Peas,2020,527632887
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,2015,1949596473
No Fuss,Zeme Libre,2023,1332
El Efecto,Rauw Alejandro,2019,580054244
What Lovers Do (feat. SZA),Maroon 5,2017,1206495254
Dream Girl,Izellah,2023,377401
Zona De Perigo,Leo Santana,2022,182793453
Crazy Form,ATEEZ,2023,58520078
Kehribar,Burak Bulut,2023,68985345
SAY MY GRACE (feat. Travis Scott),Offset,2023,118851626
Drugs From Amsterdam,Mau P,2022,170829903
M.A - Remix,BM,2023,123113806
BBY BOO (REMIX),iZaak,2024,92573075
What My World Spins Around,Jordan Davis,2022,225128269
HOLIDAY,Lil Nas X,2020,551719564
Beautiful People (feat. Khalid),Ed Sheeran,2019,1394345347
Son Of A Sinner,Jelly Roll,2021,189577521
Animals,Maroon 5,2011,1365755853
Kurchi Madathapetti,Thaman S,2023,43280156
EXCESOS,Fuerza Regida,2023,140289944
VVV,mikeeysmind,2023,66104800
EL BARCO,KAROL G,2021,304116211
Ahora Dice,Chris Jedi,2017,661732009
Breakfast Challenge Song (Slowly),SPENCE,2021,861521
Heaven,Niall Horan,2023,229993968
Fingers Crossed,Lauren Spencer Smith,2022,437029775
This Side of Paradise,Coyote Theory,2020,515923885
Pipoco,Ana Castela,2022,238890270
Don't Go Yet,Camila Cabello,2021,499085551
DNA (Loving You) [feat. Hannah Boleyn],Billy Gillies,2023,71722674
How Far I'll Go,Auli'i Cravalho,2016,611088459
Paani Paani,Badshah,2021,89815962
Static,Steve Lacy,2022,304386086
Through Da Storm,Polo G,2019,351007818
Sabran,AL SHAMI,2024,5501185
Komet,Udo Lindenberg,2023,223211332
In the End,Linkin Park,2000,2045512421
La Bicicleta,Carlos Vives,2016,697574595
Hecha Pa' Mi,Boza,2020,627556563
SPIT IN MY FACE!,ThxSoMch,2022,516541770
Caramelo,Ozuna,2020,508151972
Calling My Spirit,Kodak Black,2018,298721490
Virtual Angel,ARTMS,2024,2371467
Everybody Dies In Their Nightmares,XXXTENTACION,2017,1590659204
Maria Mariah,JC NO BEAT,2023,33605864
"Shaitan Ka Saala (From ""Housefull 4"")",Sohail Sen,2019,35269135
Me Niego (feat. Ozuna & Wisin),Reik,2018,708166969
Ma Fi Leil,Nassif Zeytoun,2024,1579231
NEON BLADE,MoonDeity,2022,256121980
Ho Hey,The Lumineers,2012,1273869800
Frozen,Madonna,2021,171060866
Mahiye Jinna Sohna,Darshan Raval,2023,208410725
Pain,PinkPantheress,2021,595213841
T.B.H,QWER,2024,4579390
Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,2018,587673746
Titliaan,Afsana Khan,2020,60103893
Save Your Tears,The Weeknd,2020,1995511952
Padam Padam,Kylie Minogue,2023,142783595
Pacto (feat. Bryant Myers & Dei V) - Remix,Jay Wheeler,2023,112634428
Finesse,Pheelz,2022,162356099
Bad Blood,Taylor Swift,2014,602316735
SNAP,Rosa Linn,2022,1033308414
Crazy What Love Can Do,David Guetta,2022,371288040
Man Made A Bar (feat. Eric Church),Morgan Wallen,2023,175095439
Bijlee Bijlee,Harrdy Sandhu,2021,185690034
Diamonds,Sam Smith,2020,411109963
Do I Wanna Know?,Arctic Monkeys,2013,2188592950
Self Love (Spider-Man: Across the Spider-Verse),Metro Boomin,2023,168713011
It's Not Right But It's Okay,Mr. Belt & Wezol,2024,56343820
Sweet Dreams,Koe Wetzel,2024,20827832
Mittelmeer,Pashanim,2024,20583156
Another Love,Tom Odell,2012,2444335468
Djadja,Aya Nakamura,2018,449300755
We Are The People - southstar Remix,Empire Of The Sun,2023,131670125
"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",Tion Wayne,2021,329901408
Piyar Farak Wali,Pawan Singh,2023,30668840
Timber (feat. Ke$ha),Pitbull,2009,1477150302
Little Life,Cordelia,2023,15433188
LOVE YOU BETTER,Future,2022,128787729
Woah,Lil Baby,2019,420627588
As If It's Your Last,BLACKPINK,2017,594775179
679 (feat. Remy Boyz),Fetty Wap,2015,808010338
DE LUNES A LUNES,Manuel Turizo,2023,178247858
Whistle,Jax Jones,2023,150399875
Look At Me!,XXXTENTACION,2017,1432465000
Thang For You (feat. No Cap),Rylo Rodriguez,2023,34566972
Before You Leave Me,Alex Warren,2024,99946842
2Humpy is Back,2Rare,2024,299871
XO Tour Llif3,Lil Uzi Vert,2017,2123458039
"break up with your girlfriend, i'm bored",Ariana Grande,2019,975281654
la noia,Angelina Mango,2024,81694468
Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,2018,942092206
La solution,Marka,2023,1537
Pump,Valentino Khan,2017,67890975
Higher Love,Kygo,2019,943137389
WORTH NOTHING (feat. Oliver Tree) - Fast & Furious: Drift Tape/Phonk Vol 1,TWISTED,2022,299202591
Friends,Marshmello,2018,1436709386
Entre Nosotros (Remix) [con Nicki Nicole],Tiago PZK,2022,297383787
Love Lies (with Normani),Khalid,2018,937339123
Tal Para Cual,Salastkbron,2024,54141672
Sorriso no Rosto,Mc IG,2024,11576361
"jealousy, jealousy",Olivia Rodrigo,2021,884616492
Shaky Shaky,Daddy Yankee,2016,355833360
El Amante,Nicky Jam,2017,583299836
ICU,Coco Jones,2022,52106559
Way down We Go,KALEO,2015,1086861259
24K Magic,Bruno Mars,2017,1425996809
Joy (In My Own Time) - Tribe Song,DAMIEN,2023,6300
PILLOWTALK,ZAYN,2016,1320205697
Enemy - Radio Edit,Imagine Dragons,2022,820953
When It Comes To You,Fridayy,2023,36398813
Semangat Kerjanya Kawan,Aldo Zee,2022,32642
Libaas,Kaka,2020,76630812
OOOUUU,Young M.A,2016,316267018
Flooded The Face,Lil Uzi Vert,2023,125102655
"90-90 Nabbe Nabbe (From ""Jatt Nuu Chudail Takri"")",Gippy Grewal,2024,6576855
"Ranjithame (From ""Varisu"")",Thalapathy Vijay,2022,123908201
X SI VOLVEMOS,KAROL G,2023,491242756
IT GIRL,Aliyah's Interlude,2023,118193328
It's A Wrap - Sped Up,Mariah Carey,2023,35004403
Never Be Lonely,Jax Jones,2024,27715232
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Pitbull,2009,1164166623
SPIT IN MY FACE!,ThxSoMch,2022,519330096
Iko Iko (My Bestie),Justin Wellington,2019,314672402
Beat Of Your Heart,Purple Disco Machine,2024,21179750
Low Life,Future,2016,884825594
Oi Erro - Ao Vivo,Simone Mendes,2023,23883628
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,2018,1124147912
Been Like This,Meghan Trainor,2024,44441672
Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,2023,372248119
Light It Up (feat. Nyla & Fuse ODG) [Remix],Major Lazer,2015,1293191157
The Weekend - Funk Wav Remix,SZA,2017,463298197
Un Coco,Bad Bunny,2022,534736940
Tutu,Camilo,2019,594224324
Tadow,Masego,2017,475786302
Heart Like A Truck,Lainey Wilson,2022,156975001
Honey Boy (feat. Nile Rodgers & Shenseea),Purple Disco Machine,2024,19468909
Ya Acabo,Marca MP,2021,340744110
Love You So,The King Khan & BBQ Show,2005,16326628
DOGTOOTH,"Tyler, The Creator",2023,141377619
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,2021,842558786
"Srivalli (From ""Pushpa The Rise Part - 01"")",Javed Ali,2021,125396685
Go Back (feat. Julia Church),John Summit,2024,12724701
Did It Again,Lil Tecca,2019,440181206
"Kalaastar (From ""Honey 3.0"")",Yo Yo Honey Singh,2023,31193454
"Tshwala Bam (feat. S.N.E, EeQue)",TitoM,2024,30674267
Firestone,Kygo,2015,1106264600
Cheap Thrills,Sia,2016,699374947
Meridian,Dave,2023,81911061
Ten by Ten,Carrier,2023,2265
LOU LOU,Gabito Ballesteros,2023,242519709
Dangerous Woman,Ariana Grande,2016,1120622892
ON,BTS,2020,452491920
Problem,Ariana Grande,2014,863631428
Don't Call Me Up,Mabel,2019,1016283394
Bodak Yellow,Cardi B,2017,894360950
Latch,Disclosure,2013,1017438306
Mourning,Post Malone,2023,160305133
300 Noches,Belinda,2024,51637997
How Do You Sleep?,Sam Smith,2019,972593978
BAIXO,xxanteria,2023,101938916
Asylum,Olivetheboy,2024,4792243
American Boy (No Rap Version),Estelle,2024,12102307
ceilings,Lizzy McAlpine,2022,540382129
Love On The Brain,Rihanna,2016,1480311407
GATITAS SANDUNGUERAS VOL.1,Alvaro Diaz,2024,41517704
Gangsta's Paradise,Coolio,2020,1675750095
